,ISO,Year,Risk.ext.debt.distress,Debt.Indicator,Inflation,Cur.acc.bal,Gen.gov.len.bor,Vol.Exp.Goods,GDP,GDP.per.cap,Gen.gov.rev,US.int.rates,Ext.Debt.Serv,Real.GDP.growth,Exch.Rate,Control.of.Corruption,Government.Effectiveness,Pol.Stability.Absence.of.Violence,Regulatory.Quality,Rule.of.Law,Voice.and.Accountability
258,TZA,2013,Low,0,7.870,-10.701,-3.81,1.767,45.681,970.348,15.033,1.46929925,237055219.4,6.781585601,1597.555833,-0.7741532,4.2902299,-0.1621208,-0.3290884,2.0270358,-0.2037866
259,TGO,2013,Moderate,0,1.763,-13.153,-5.199,14.122,4.322,621.408,21.462,1.46929925,53144418.7,6.112343078,493.8996239,-1.026878,3.705041,-0.3537108,-0.9222642,1.5265055,-0.9044718
260,UGA,2013,Low,0,4.905,-5.701,-3.19,4.809,32.331,964.833,10.112,1.46929925,87613922.9,3.586905826,2586.889569,-1.042657,4.4140575,-0.8386906,-0.2439245,2.158718,-0.5519767
261,ZMB,2013,Low,0,6.978,-0.779,-6.208,22.868,28.046,1839.54,17.629,1.46929925,319221356.7,5.05723174,5.396483333,-0.3067903,4.5074817,0.4359333,-0.4740081,2.2324383,-0.1060421
262,BEN,2014,Low,0,-1.083,-6.67,-1.651,1.279,13.288,1291.76,12.574,1.374742175,79883809.3,6.357679098,493.7573299,-0.6660711,4.5431819,0.0271398,-0.5859138,2.0119776,0.2663023
263,BFA,2014,Moderate,0,-0.258,-7.165,-1.737,10.018,13.947,793.051,19.19,1.374742175,93527597.3,4.326845615,493.7573299,-0.4648376,4.4211704,-0.7871286,-0.3089368,1.9527472,-0.3518519
264,BDI,2014,High,1,4.417,-19.456,-3.747,-12.903,2.837,286.373,23.395,1.374742175,30246927,4.240651644,1546.686667,-1.258653,3.870853,-0.7844071,-0.7070148,1.5339797,-1.041284
265,CMR,2014,Moderate,0,1.853,-4.006,-4.251,15.206,34.999,1552.47,16.612,1.374742175,530678084.1,5.884059327,493.7573299,-1.164004,4.2089658,-1.059252,-0.8845948,1.6035517,-0.9443417
266,CAF,2014,High,1,14.899,-13.335,-3.935,19.639,1.896,424.67,14.081,1.374742175,12050715.1,0.081070515,493.7573299,-1.160163,3.151667,-2.699193,-1.393427,0.804303,-1.391623
267,TCD,2014,High,1,1.682,-8.93,-4.182,5.947,14.003,1024.84,17.796,1.374742175,589336214.2,6.899985045,493.7573299,-1.31569,3.504073,-1.568883,-1.158972,1.361351,-1.331053
268,COM,2014,Moderate,0,-0.008,-3.783,-0.331,24.162,1.15,1505.18,14.2,1.374742175,782360.6,2.100006438,370.3179974,-0.6122024,3.32596,-0.1869102,-1.104208,1.6083003,-0.2917461
269,COD,2014,Moderate,0,1.240,-4.797,-0.017,8.634,35.911,425.329,18.473,1.374742175,410787291.8,9.470288097,925.2262825,-1.300999,3.43862,-2.167921,-1.362629,1.048952,-1.286678
270,COG,2014,Low,0,0.912,1.042,-10.732,3.488,17.918,4438.24,37.83,1.374742175,461130724.8,5.955207467,493.7573299,-1.178787,3.88969,-0.3592916,-1.214696,1.391396,-1.108313
271,CIV,2014,Moderate,0,0.449,1.045,-1.568,12.552,48.882,2115.19,13.645,1.374742175,1011102883,8.79407739,493.7573299,-0.4191529,4.166156,-1.037161,-0.5945303,1.9085842,-0.5076874
272,ETH,2014,Low,0,7.404,-6.602,-2.582,6.853,54.165,613.101,14.901,1.374742175,759224077.2,10.25749296,19.58578991,-0.4442555,4.5755183,-1.339387,-1.065146,2.0284367,-1.284354
273,GMB,2014,Moderate,0,6.262,-7.339,-3.937,-9.92,1.229,607.429,15.046,1.374742175,49629708.5,-1.407382495,41.73296165,-0.6938298,4.3301055,-0.1514007,-0.456939,1.8108743,-1.267749
274,GHA,2014,Moderate,0,15.486,-6.955,-7.975,3.228,53.173,1962.66,13.429,1.374742175,796651428.4,2.897438837,2.896575,-0.192189,4.7191424,-0.106808,-0.0057965,2.552245,0.4632516
275,GIN,2014,Moderate,0,9.712,-12.86,-3.207,2.927,8.79,729.798,16.971,1.374742175,85502795.2,3.707451613,7014.118777,-1.057489,3.767637,-0.9552428,-1.056362,1.139505,-0.8580707
276,GNB,2014,Moderate,0,-1.032,0.494,-2.436,8.027,1.136,712.826,20.523,1.374742175,6181616.4,0.964560751,493.7573299,-1.538464,3.416993,-0.7064517,-1.19097,1.174794,-0.850448
277,LBR,2014,Low,0,9.858,-20.487,-3.116,7.497,3.137,777.022,29.208,1.374742175,17484519.3,0.701143912,83.8925,-0.7714581,3.656944,-0.6154496,-0.8632321,1.6942059,-0.2758334
278,MDG,2014,Low,0,6.080,-0.269,-1.961,-2.54,12.523,530.863,10.594,1.374742175,99619750.6,3.339202244,2414.811667,-0.8404085,3.700678,-0.5572358,-0.6921741,1.7598725,-0.5003059
279,MWI,2014,Moderate,0,23.775,-8.175,-4.843,5.59,6.055,343.979,24.986,1.374742175,67691445.7,5.700000004,424.8966667,-0.7511342,4.3718888,0.0810932,-0.8000299,2.2136347,-0.0642981
280,MLI,2014,Moderate,0,2.730,-4.707,-2.886,-1.706,14.369,872.028,17.131,1.374742175,99435224.8,7.084683881,493.7573299,-0.7453915,3.900912,-1.713989,-0.6023568,1.8557038,-0.1614028
281,MOZ,2014,Moderate,0,2.560,-36.529,-10.262,-3.223,17.623,647.499,30.445,1.374742175,762944393.6,7.398512797,31.3526877,-0.6722683,4.2773319,-0.3360027,-0.4053305,1.6896662,-0.2459904
282,NER,2014,Moderate,0,-0.890,-12.028,-6.105,-0.503,10.866,564.74,17.457,1.374742175,114399693.6,6.642136654,493.7573299,-0.6868545,4.303813,-1.17584,-0.7179123,1.854256,-0.195137
283,RWA,2014,Low,0,1.784,-11.434,-3.9,8.561,8.272,751.989,23.47,1.374742175,169480057.9,6.167166701,682.4377954,0.7624834,4.9746679,-0.3134696,0.2464919,2.5568706,-1.111962
284,STP,2014,High,1,6.988,-20.746,-5.307,12.898,0.349,1826.92,25.116,1.374742175,13810120.3,6.5499331,18.46640305,-0.0019088,4.182698,0.184183,-0.7993983,1.7071195,0.3214463
285,SEN,2014,Low,0,-1.089,-6.981,-3.387,3.836,19.802,1397.02,19.713,1.374742175,360214435.7,6.613500103,493.7573299,0.0556562,4.5960556,-0.1982231,-0.2196877,2.4181762,0.2922798
286,SLE,2014,Moderate,0,4.645,-9.273,-3.605,3.219,5.007,713.53,14.039,1.374742175,35143664.3,4.556772366,4524.159167,-0.9406572,3.756286,-0.1040397,-0.8055689,1.5781415,-0.2866932
287,TZA,2014,Low,0,6.132,-9.953,-2.911,7.02,50.002,1030.74,14.377,1.374742175,266552567.2,6.732461868,1653.230833,-0.7544573,4.3449544,-0.5971186,-0.3316137,2.1048759,-0.1922616
288,TGO,2014,Moderate,0,0.187,-10.021,-6.847,-7.491,4.576,641.132,20.663,1.374742175,61739287.3,5.920588571,493.7573299,-0.8932849,3.750486,-0.1671269,-0.8202626,1.6427839,-0.7664886
289,UGA,2014,Low,0,3.076,-6.539,-2.74,-5.102,33.122,960.698,10.825,1.374742175,206376587.8,5.106307324,2599.788201,-1.085041,4.4985237,-0.9411262,-0.2150176,2.1116199,-0.5849968
290,ZMB,2014,Low,0,7.811,2.141,-5.799,-3.622,27.151,1727.03,18.895,1.374742175,398493394.6,4.697992363,6.154166667,-0.3422427,4.5004253,0.156212,-0.5034276,2.263451,-0.1096007
291,BEN,2015,Low,0,0.210,-5.964,-5.553,-9.452,11.389,1076.91,12.6,2.195671052,78183407.9,1.77815106,591.211698,-0.5508218,4.3803642,-0.013514,-0.5630289,1.9639919,0.2961213
292,BFA,2015,Moderate,0,0.914,-7.568,-2.09,6.504,11.833,653.393,18.269,2.195671052,113577480.7,3.921228794,591.211698,-0.277338,4.3805419,-0.6111074,-0.3713624,1.9766435,-0.1143418
293,BDI,2015,High,1,5.553,-20.687,-7.21,-7.492,3.255,318.992,14.887,2.195671052,26931535.4,-3.900003086,1571.898333,-1.25752,3.815735,-1.939511,-0.7104732,1.332418,-1.272203
294,CMR,2015,High,1,2.698,-3.794,-4.422,12.51,30.932,1338.6,16.479,2.195671052,508961959.1,5.651463744,591.211698,-1.074493,4.2194155,-0.9896075,-0.9170986,1.524032,-0.9540781
295,CAF,2015,High,1,1.403,-9.109,-0.588,2.203,1.696,377.476,13.375,2.195671052,17568691.7,4.33712103,591.211698,-1.308061,3.21535,-1.904765,-1.439941,0.815196,-1.225521
296,TCD,2015,High,1,4.827,-13.78,-4.38,36.63,10.952,776.105,13.96,2.195671052,103140841.1,2.767675685,591.211698,-1.363967,3.538964,-0.9745526,-1.210751,1.316722,-1.33518
297,COM,2015,Moderate,0,0.941,-0.257,2.597,-7.418,0.966,1231.14,21.657,2.195671052,7473546.7,1.116140583,443.4087735,-0.7191136,3.477993,-0.2327915,-1.029055,1.6847936,-0.2911683
298,COD,2015,Moderate,0,0.738,-3.913,-0.406,-2.03,37.915,435.979,16.826,2.195671052,396754431.1,6.91618781,925.9849613,-1.285265,3.370799,-2.150854,-1.34549,0.927453,-1.303906
299,COG,2015,Moderate,0,3.168,-38.986,-17.805,-12.125,11.891,2873.72,23.483,2.195671052,382709074,-3.235257871,591.211698,-1.196039,3.977809,-0.526366,-1.195739,1.421463,-1.016874
300,CIV,2015,Moderate,0,1.244,-0.44,-2.042,-2.841,45.815,1932.22,14.461,2.195671052,809279473.8,8.84285995,591.211698,-0.4349297,4.3144759,-0.8325459,-0.504151,1.8702835,-0.4073412
301,ETH,2015,Moderate,0,9.569,-11.733,-1.947,2.229,63.081,702.767,15.379,2.195671052,1049393466,10.39246302,20.57684875,-0.4501761,4.3532916,-1.498187,-1.031196,1.9909729,-1.298413
302,GMB,2015,Moderate,0,6.808,-9.888,-5.375,-11.783,1.355,649.511,14.203,2.195671052,41180810.5,4.058073804,42.50620809,-0.7702248,4.0965168,0.0195886,-0.5086934,1.7786741,-1.460066
303,GHA,2015,High,1,17.153,-5.835,-4.077,-8.675,48.595,1753.85,14.869,2.195671052,1010942766,2.178206744,3.714641667,-0.1888184,4.7778373,-0.0320993,-0.0312539,2.6423959,0.4899297
304,GIN,2015,Moderate,0,8.151,-12.949,-6.892,21.284,8.79,712.047,14.81,2.195671052,109199705.4,3.81494989,7485.516742,-0.989652,3.85441,-0.3869883,-0.8706912,1.33923,-0.8574654
305,GNB,2015,Moderate,0,1.481,1.824,-3.161,6.699,1.153,707.897,18.342,2.195671052,6522471.8,6.134082941,591.211698,-1.482593,3.38691,-0.5182164,-1.203109,1.216459,-0.7496215
306,LBR,2015,Moderate,0,7.742,-22.195,-4.4,-3.384,3.163,764.412,31.819,2.195671052,45440707,0,86.18836657,-0.6454387,3.642932,-0.8180257,-0.8650306,1.6433991,-0.2297582
307,MDG,2015,Moderate,0,7.404,-1.626,-2.85,-7.684,11.323,467.235,10.179,2.195671052,140622401.5,3.132295888,2933.508333,-0.851298,3.714396,-0.4273629,-0.7651789,1.8127386,-0.3806086
308,MWI,2015,Moderate,0,21.860,-17.198,-6.335,-27.876,6.402,353.507,24.722,2.195671052,70431269.3,2.799999999,499.6058333,-0.7665762,4.3337879,0.0318961,-0.8180815,2.1931137,-0.0040275
309,MLI,2015,Moderate,0,1.442,-5.323,-1.822,31.23,13.106,772.639,19.117,2.195671052,106400199.1,6.171800024,591.211698,-0.6828474,4.0689696,-1.685664,-0.577987,1.7648091,-0.1979333
310,MOZ,2015,Moderate,0,3.551,-37.414,-6.661,-1.792,15.951,570.129,26.025,2.195671052,642116959.5,6.72327878,39.98247415,-0.7488589,4.2536964,-0.5138951,-0.5003937,1.6512038,-0.2700363
311,NER,2015,Moderate,0,0.961,-15.345,-6.746,-8.997,9.685,484.215,17.489,2.195671052,88170441.4,4.392648832,591.211698,-0.6542467,4.3453804,-1.066546,-0.7289673,1.9292858,-0.2046032
312,RWA,2015,Low,0,2.507,-14.761,-2.669,-3.752,8.585,759.764,23.803,2.195671052,184681575,8.856844355,719.8595555,0.6357123,4.9541566,0.0132411,0.2429835,2.550415,-1.135208
313,STP,2015,High,1,5.256,-11.96,-6.252,-1.025,0.318,1623.81,27.956,2.195671052,2768639.8,3.911339748,22.09064456,-0.0451635,4.2490922,0.1440426,-0.7713445,1.7439213,0.2800619
314,SEN,2015,Low,0,0.858,-5.715,-3.663,-2.995,17.777,1219.37,19.284,2.195671052,377369805.6,6.367043651,591.211698,0.0590133,4.5735555,-0.1166648,-0.1575582,2.3583276,0.2836308
315,SLE,2015,Moderate,0,6.694,-15.537,-4.548,-25.646,4.252,592.903,16.192,2.195671052,51792937,-20.59877072,5080.7475,-0.7997045,3.7501,-0.1025168,-0.8951481,1.6463818,-0.2704397
316,TZA,2015,Low,0,5.588,-7.826,-3.169,13.876,47.384,947.897,13.982,2.195671052,353533050.3,6.160628774,1991.390833,-0.6878198,4.3980271,-0.4161943,-0.3749183,2.1282343,-0.2217764
317,TGO,2015,Moderate,0,1.790,-11.027,-8.828,-9.178,4.181,570.968,21.826,2.195671052,61268561.2,5.742868453,591.211698,-0.7238495,3.806942,-0.2313481,-0.8177804,1.7005261,-0.7007843
318,UGA,2015,Low,0,5.412,-6.117,-2.55,6.272,27.321,769.774,12.756,2.195671052,94794160.5,5.187859863,3240.64542,-1.051651,4.5153214,-0.8045017,-0.2619876,2.1097765,-0.5670019
319,ZMB,2015,Moderate,0,10.107,-2.687,-9.539,-11.374,21.243,1310.35,18.77,2.195671052,545473487,2.920375112,8.631666667,-0.3412615,4.4443351,0.1516949,-0.4365156,2.270285,-0.0665427
320,BEN,2016,Low,0,-0.794,-2.997,-4.289,17.369,11.818,1086.97,11.139,2.451023108,98641581.9,3.339673426,592.6056151,-0.5134378,4.4358097,-0.0020272,-0.5278944,1.8914075,0.4098547
321,BFA,2016,Moderate,0,-0.194,-6.085,-3.085,11.673,12.819,687.48,18.565,2.451023108,122291030.2,5.957976708,592.6056151,-0.1480786,4.4358314,-0.8673759,-0.3973829,2.0587208,0.0144986
322,BDI,2016,High,1,5.527,-13.542,-6.783,28.278,3.103,294.687,14.748,2.451023108,33404895.9,-0.600020001,1654.626667,-1.245702,3.558314,-1.970721,-0.8252589,1.039763,-1.555504
323,CMR,2016,High,1,0.873,-3.179,-6.092,1.091,32.635,1377.85,14.816,2.451023108,927334682.1,4.648481551,592.6056151,-1.154442,4.2361359,-1.062137,-0.7898978,1.463999,-1.030126
324,CAF,2016,High,1,4.945,-5.342,1.07,13.919,1.825,402.053,13.172,2.451023108,25252855.6,4.750316841,592.6056151,-1.280002,3.228296,-1.789267,-1.427307,0.683501,-1.082307
325,TCD,2016,High,1,-1.632,-10.425,-1.937,-14.731,10.202,700.558,12.429,2.451023108,124615875.8,-6.255527085,592.6056151,-1.487879,3.488105,-1.302365,-1.180022,1.12207,-1.362297
326,COM,2016,Moderate,0,0.802,-4.349,-4.48,-1.712,1.013,1256.04,14.182,2.451023108,6421827.5,3.320680025,444.4542113,-0.6658682,3.447225,0.0357599,-1.049556,1.5014907,-0.2902683
327,COD,2016,Moderate,0,3.153,-4.105,-0.495,25.597,36.64,409.046,13.982,2.451023108,483967534.8,2.399379098,1010.302757,-1.337323,3.489068,-2.234622,-1.323978,0.881492,-1.409874
328,COG,2016,Moderate,0,3.191,-48.678,-15.643,-14.228,10.159,2395.18,26.102,2.451023108,298010032.8,-10.19038534,592.6056151,-1.186978,3.903205,-0.5192695,-1.165628,1.404406,-1.160179
329,CIV,2016,Moderate,0,0.724,-0.864,-3.006,-7.373,47.964,1971.62,14.737,2.451023108,1566964733,7.179207824,592.6056151,-0.5300656,4.3268695,-0.9075593,-0.3648906,1.8554487,-0.3084423
330,ETH,2016,Moderate,0,6.628,-9.395,-2.34,12.626,70.886,777.294,15.884,2.451023108,1248304617,9.433482658,21.73154722,-0.4170368,4.3616439,-1.619813,-1.101313,2.0076512,-1.402079
331,GMB,2016,Moderate,0,7.225,-9.241,-6.397,13.938,1.47,683.998,13.148,2.451023108,42450221,1.943359655,43.37252767,-0.8120448,4.1580567,-0.4344123,-0.5093247,1.7255319,-1.262813
332,GHA,2016,High,1,17.455,-5.213,-6.888,5.748,54.989,1941.46,13.421,2.451023108,1542475857,3.447792991,3.909816667,-0.1490146,4.831689,-0.1309286,-0.2325097,2.5487858,0.5854982
333,GIN,2016,Moderate,0,8.174,-31.905,-0.147,5.616,8.604,679.947,15.989,2.451023108,79980308.8,10.82880684,8967.92708,-0.9189591,3.99414,-0.3938748,-0.8676737,1.283932,-0.7592747
334,GNB,2016,Moderate,0,2.707,1.358,-5.341,0.806,1.245,748.089,15.175,2.451023108,7668109.7,6.262805638,592.6056151,-1.552299,3.357002,-0.4426939,-1.235827,1.013198,-0.7331135
335,LBR,2016,Moderate,0,8.844,-19.233,-3.74,-22.025,3.277,772.393,31.747,2.451023108,12076287.6,-1.599584075,94.42724359,-0.7216154,3.721069,-0.4374078,-0.9484934,1.5548406,-0.1044029
336,MDG,2016,Moderate,0,6.056,0.482,-1.107,-31.92,11.849,476.226,12.438,2.451023108,123012897.3,3.993146085,3176.539167,-0.9073029,3.832273,-0.2900946,-0.6897418,1.6865956,-0.3154095
337,MWI,2016,Moderate,0,21.727,-18.451,-7.284,-7.227,5.492,294.755,23.677,2.451023108,75508701.5,2.484040626,718.005,-0.7566847,4.2740015,-0.1134786,-0.8448486,2.124669,-0.0292566
338,MLI,2016,Moderate,0,-1.800,-7.237,-3.942,-3.856,14.032,803.301,18.301,2.451023108,119565648.6,5.852299199,592.6056151,-0.6547985,4.0072489,-1.617233,-0.5908752,1.7178383,-0.231505
339,MOZ,2016,Moderate,0,19.853,-32.219,-5.483,-5.726,11.937,415.18,23.922,2.451023108,544590031.3,3.824214319,63.05623273,-0.8750069,4.136929,-1.094005,-0.7045604,1.448691,-0.41531
340,NER,2016,Moderate,0,0.179,-11.415,-4.463,-7.214,10.352,497.965,14.896,2.451023108,111368080,5.709274187,592.6056151,-0.6442041,4.3665066,-1.103307,-0.6713569,1.8389235,-0.4192002
341,RWA,2016,Low,0,5.723,-15.45,-2.26,9.78,8.734,759.492,22.763,2.451023108,223018477.7,5.970744298,787.2515218,0.6441216,5.0981101,-0.0548993,0.1071192,2.6018494,-1.152952
342,STP,2016,High,1,5.433,-6.076,-4.235,-6.312,0.348,1737.73,28.161,2.451023108,2627008.2,4.164766921,22.14886063,-0.0661725,4.3278811,0.2232869,-0.8124583,1.8368487,0.3642224
343,SEN,2016,Low,0,1.192,-4.188,-3.272,4.671,19.035,1269.55,20.691,2.451023108,398001415.1,6.356068572,592.6056151,-3.23E-06,4.5460754,-0.2182553,-0.1430723,2.3934993,0.3713109
344,SLE,2016,Moderate,0,10.883,-9.062,-8.46,-3.324,3.855,525.948,14.881,2.451023108,37313655.2,6.055474029,6290.297415,-0.8191309,3.829323,-0.1599265,-0.9254888,1.7226391,-0.1965125
345,TZA,2016,Low,0,5.168,-4.134,-2.083,-2.015,49.774,966.29,14.827,2.451023108,687750901.7,6.867116196,2177.086667,-0.5069014,4.4543916,-0.4409948,-0.4353084,2.1232992,-0.2219924
346,TGO,2016,Moderate,0,0.857,-9.766,-9.54,8.434,4.469,595.142,21.562,2.451023108,93655824.7,5.559079306,592.6056151,-0.6773949,3.931466,-0.1723536,-0.7933024,1.8664457,-0.544174
347,UGA,2016,Low,0,5.455,-2.834,-3.564,12.509,29.414,804.526,12.488,2.451023108,844447357.7,4.781000291,3420.098007,-1.056744,4.4287477,-0.7153227,-0.2131466,2.2488236,-0.6466277
348,ZMB,2016,Moderate,0,17.869,-3.269,-6.097,-4.704,20.941,1252.7,18.237,2.451023108,741751917.2,3.776679146,10.3075,-0.401866,4.3399413,0.142808,-0.4835931,2.19956,-0.2990198
349,BEN,2017,Moderate,0,1.769,-4.181,-4.204,-0.286,12.697,1136.14,13.581,2.17206317,104064425.9,5.671555469,580.6567496,-0.5561696,4.351795,0.030853,-0.4722349,1.8753746,0.3816542
350,BFA,2017,Moderate,0,0.351,-5.009,-6.884,19.424,14.165,738.014,19.247,2.17206317,135976508.6,6.203489411,580.6567496,-0.1141493,4.4200568,-0.926845,-0.4435385,2.1015246,0.0651853
351,BDI,2017,High,1,16.597,-14.952,-4.773,30.381,3.327,306.103,18.199,2.17206317,35064091.3,0.500009999,1729.055,-1.283891,3.658893,-2.00754,-0.8360441,1.104408,-1.57497
352,CMR,2017,High,1,0.642,-2.714,-4.872,3.098,34.997,1441.55,14.954,2.17206317,720802187.8,3.549087318,580.6567496,-1.20042,4.186327,-1.09568,-0.8227918,1.468366,-1.050573
353,CAF,2017,High,1,4.181,-7.822,-1.063,-1.712,2.072,450.744,12.8,2.17206317,39669908.7,4.527278213,580.6567496,-1.173228,3.234964,-2.006213,-1.48077,0.768514,-1.107356
354,TCD,2017,In debt distress,1,-0.897,-7.093,-0.231,-12.162,10.079,671.18,14.649,2.17206317,125657122.7,-2.988695986,580.6567496,-1.432375,3.530197,-1.28733,-1.210235,1.204657,-1.370252
355,COM,2017,Moderate,0,0.092,-2.132,0.351,3.987,1.077,1300.57,17.244,2.17206317,4053480.3,3.815702113,435.4925622,-0.6849652,3.433257,0.0360746,-1.037488,1.445186,-0.3356589
356,COD,2017,Moderate,0,35.787,-3.3,1.355,-19.768,37.615,407.705,11.743,2.17206317,395907838,3.726947653,1464.417932,-1.418138,3.36477,-2.351179,-1.465562,0.810182,-1.459709
357,COG,2017,Moderate,0,0.449,-3.259,-5.932,26.015,11.11,2555.44,22.393,2.17206317,331695668.7,-4.63308756,580.6567496,-1.330627,3.801517,-0.5316639,-1.329811,1.396239,-1.121137
358,CIV,2017,Moderate,0,0.692,-2.034,-3.333,13.516,51.588,2066.85,15.101,2.17206317,2248704453,7.359638088,580.6567496,-0.5254095,4.2419647,-1.090075,-0.3618664,1.8697743,-0.2832149
359,ETH,2017,High,1,10.687,-8.51,-3.243,-9.191,76.841,829.313,14.743,2.17206317,1496298335,9.564189643,23.86610446,-0.5574869,4.302043,-1.679589,-1.006072,2.0463473,-1.431522
360,GMB,2017,In debt distress,1,8.049,-7.391,-4.98,5.969,1.498,676.656,19.268,2.17206317,44460740.1,4.822611249,46.60890946,-0.6282324,4.3534982,-0.0840345,-0.4481761,2.0650544,-0.6221498
361,GHA,2017,High,1,12.372,-3.409,-4.061,32.58,58.978,2037.95,13.941,2.17206317,1980453449,8.143446549,4.350533333,-0.2296802,4.8908129,0.0917808,-0.1376108,2.6298672,0.597521
362,GIN,2017,Moderate,0,8.914,-6.724,-2.059,66.29,10.337,796.959,15.267,2.17206317,94199827.7,10.29990722,9088.319496,-1.012735,3.96151,-0.7009057,-0.8378924,1.269931,-0.7378039
363,GNB,2017,Moderate,0,-0.186,0.263,-1.321,3.453,1.469,864.141,16.788,2.17206317,11917049,5.919176626,580.6567496,-1.562845,3.23323,-0.4985851,-1.181866,1.06429,-0.7967396
364,LBR,2017,Moderate,0,12.435,-22.603,-4.792,-4.664,3.284,754.664,28.234,2.17206317,15078321.9,2.468626095,112.7066667,-0.6639162,3.659056,-0.3615999,-0.9461145,1.5491377,-0.0198257
365,MDG,2017,Moderate,0,8.590,-0.422,-2.103,-9.658,13.176,515.935,12.839,2.17206317,131925176.5,3.933316171,3116.11,-1.050775,3.860393,-0.3012637,-0.694037,1.6399518,-0.3443277
366,MWI,2017,Moderate,0,11.541,-25.606,-7.326,-8.363,6.23,325.01,25.241,2.17206317,71227966.2,4.000030517,730.2725,-0.6590769,4.3404742,-0.251155,-0.7484592,2.130426,-0.0303336
367,MLI,2017,Moderate,0,1.764,-7.285,-2.862,13.65,15.36,853.566,20.06,2.17206317,144407654.3,5.305456084,580.6567496,-0.6422669,4.063278,-1.90659,-0.5726805,1.721814,-0.2513361
368,MOZ,2017,Moderate,0,15.113,-19.662,-2.923,34.632,13.15,445.192,27.055,2.17206317,512067620.6,3.741317593,63.58432291,-0.8343793,4.1082551,-0.9281119,-0.7295633,1.5121491,-0.418854
369,NER,2017,Moderate,0,0.190,-11.393,-4.115,11.574,11.186,517.792,15.386,2.17206317,132258666.7,4.999097165,580.6567496,-0.6630446,4.2957629,-1.265569,-0.6793114,1.8190268,-0.4280573
370,RWA,2017,Low,0,4.837,-7.454,-2.517,40.688,9.253,784.138,22.575,2.17206317,241345549.9,3.976289694,831.5543398,0.6330361,5.2668521,0.0880427,0.1462778,2.6286223,-1.119493
371,STP,2017,High,1,5.693,-13.233,-2.689,-16.019,0.376,1842.33,24.943,2.17206317,3846315.8,3.848982387,21.74113836,0.1712631,4.2499089,0.1859762,-0.8332095,1.7990116,0.2998572
372,SEN,2017,Low,0,1.143,-7.276,-2.968,11.069,20.989,1361.22,19.495,2.17206317,659631668,7.407486186,580.6567496,-0.0891666,4.6825026,-0.0505645,-0.1474659,2.35634,0.317839
373,SLE,2017,Moderate,0,18.220,-21.048,-8.782,-14.319,3.713,495.812,14.647,2.17206317,58367610.7,4.211182649,7384.432222,-0.5661186,3.824243,-0.0358915,-0.9200207,1.7188233,-0.1930107
374,TZA,2017,Low,0,5.321,-2.597,-1.158,-11.782,53.227,1002.87,15.415,2.17206317,709380716.7,6.785680114,2228.856667,-0.4617004,4.3659094,-0.561863,-0.579317,2.0549937,-0.2775085
375,TGO,2017,Moderate,0,-0.215,-2.012,-0.277,1.4,4.801,623.606,21.365,2.17206317,110574867,4.357413915,580.6567496,-0.7131001,3.875009,-0.8819118,-0.7898968,1.7845098,-0.6236502
376,UGA,2017,Low,0,5.629,-4.763,-2.748,9.862,31.234,829.073,12.801,2.17206317,187852536.7,3.809129029,3611.224458,-1.042836,4.4224139,-0.5715618,-0.2224542,2.2041568,-0.5871384
377,ZMB,2017,High,1,6.577,-1.682,-7.588,3.546,25.868,1500.65,17.475,2.17206317,838084864.7,3.504336096,9.5175,-0.5424167,4.3724319,0.1461797,-0.4661042,2.1749541,-0.3343522
378,BEN,2018,Moderate,0,0.849,-4.553,-2.976,11.697,14.257,1240.78,13.591,2.409470035,231424920.7,6.697259461,555.4464584,-0.3859641,4.4340134,-0.1326304,-0.3369086,1.8248602,0.2675807
379,BFA,2018,Moderate,0,1.956,-4.104,-4.355,5.963,16.207,820.533,19.403,2.409470035,143931394.7,6.731235608,555.4464584,-0.1129444,4.4216571,-1.049443,-0.3715874,2.0543637,-0.04313
380,BDI,2018,High,1,-2.767,-14.532,-6.764,15.208,3.185,284.53,19.002,2.409470035,29309675.7,1.609933082,1782.876875,-1.450813,3.580018,-1.561205,-0.9778942,1.003772,-1.658291
381,CMR,2018,High,1,1.066,-3.641,-2.488,-1.481,38.712,1555.67,16.059,2.409470035,1060126301,4.062486841,555.4464584,-1.151188,4.2003475,-1.393837,-0.7983038,1.420542,-1.115054
382,CAF,2018,High,1,1.612,-7.961,-0.972,6.3,2.28,488.589,16.634,2.409470035,26164756.1,3.789443593,555.4464584,-1.233546,3.279583,-2.171953,-1.367176,0.812773,-1.191068
383,TCD,2018,High,1,4.037,-1.401,1.936,11.143,11.036,713.034,15.286,2.409470035,176980675.9,2.3740378,555.4464584,-1.410568,3.471153,-1.47283,-1.110758,1.195024,-1.452716
384,COM,2018,Moderate,0,1.702,-2.752,-1.038,12.681,1.179,1386.01,13.879,2.409470035,7625534.9,3.430764136,416.5848438,-0.8165069,3.360866,-0.3374451,-1.11087,1.419127,-0.478406
385,COD,2018,Moderate,0,29.266,-3.551,-0.048,24.439,47.099,495.635,11.091,2.409470035,376355010.1,5.8211211,1622.523502,-1.503585,3.445213,-2.107878,-1.474025,0.716285,-1.495177
386,COG,2018,Moderate,0,1.153,1.47,5.759,30.188,13.402,3007.47,25.376,2.409470035,389099182.6,-6.204007024,555.4464584,-1.358974,3.782764,-0.339566,-1.329745,1.398991,-1.180254
